,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,724GS2055,GS,       102.00,                   215807.50,2122
,725GS2063,GS,        98.49,                 16076458.99,163431
,726GS2033,GS,       105.00,                      210.00,2
,729IRFC26,NN,      1020.00,                    30759.80,30
,729NHAI26,NC,      1024.00,                   184320.00,180
,732GS2030,GS,       103.95,                    20781.00,200
,733GS2026,GS,       102.40,                   102102.40,1001
,734GS2064,GS,       100.42,                  3380188.69,33643
,737GS2028,GS,       104.02,                   567225.00,5453
,738GS2027,GS,       106.09,                  4752340.60,44819
,738REC27TF,N2,      1037.32,                   923205.00,890
,739NHAI26,N8,      1053.00,                   206429.46,196
,73GS2053,GS,        99.97,                  7810211.10,77830
,741GS2036,GS,       104.70,                   115378.05,1102
,745AP42,SG,        99.00,                    49500.00,500
,746GS2073,GS,       100.70,                  1246970.68,12343
,74GS2035,GS,       107.00,                    10700.00,100
,74GS2062,GS,       101.89,                   120329.90,1181
,753IRFC30,NJ,      1101.96,                     2203.93,2
,754GS2036,GS,       106.09,                128735831.48,1214028
,758GJ32,SG,       102.00,                    10200.00,100
,764HUDCO31,N8,      1160.00,                   116000.00,100
,764IRFC31,NO,      1105.50,                  1838590.19,1663
,764NABAR31,N2,      1145.80,                   284158.40,248
,769HUDCO31,N9,      1096.00,                     9864.00,9
,769NHAI31,NE,      1113.80,                  1374509.47,1234
,76NHAI31,NA,      1144.50,                  1958650.22,1714
,797IGT31,NL,      1011.05,                     1011.05,1
,79NHIT35,N1,       311.00,                   155500.00,500
,79NHIT40,N2,       313.50,                    31350.00,100
,810IRFC27,N2,      1046.00,                   911309.11,872
,812REC27,NI,      1068.65,                    60924.39,57
,813GS2045,GS,       115.00,                    11500.00,100
,81TCHF28,N8,      1033.00,                     2066.00,2
,82HUDCO27,N2,      1094.00,                  1074308.00,982
,82IGT31,NJ,      1061.00,                   443298.58,418
,830NHAI27,N2,      1046.60,                    61749.49,59
,830PFCL27,N5,      1046.00,                    53233.50,51
,83GS2042,GS,       113.24,                     8945.96,79
,842IIFL26,NL,       992.10,                    69118.25,70
,850IIFL27,NA,      1059.00,                     3177.00,3
,85CIFC27,NL,      1077.25,                   215445.00,200
,85IFL26,NX,      1022.02,                    32156.16,28
,860CIFCL28,NG,      1030.90,                     1030.90,1
,865IFL28,NZ,       980.00,                    90198.52,92
,865IRFC29,NA,      1143.76,                   253967.12,222
,865LTF26,NN,      1011.00,                   176974.50,175
,871REC28,N9,      1086.28,                  2295630.90,2113
,875IIFL26A,NQ,      1067.80,                   122905.03,115
,875NHAI29,N6,      1191.09,                   845666.80,710
,876HUDCO28,ND,      1091.55,                     2183.10,2
,885MOFSL26,N0,      1040.00,                   104015.75,100
,885SCL26,N9,      1010.00,                     6060.00,6
,885TCAPS29,NC,      1180.00,                   481900.00,405
,888ECL28,N1,       973.98,                   722453.06,744
,888IRFC29,NE,      1166.02,                  1988568.70,1705
,888REC29,NF,      1119.79,                    76145.72,68
,890SFIL23A,NZ,       660.00,                     6600.00,10
,891NTPC33,N6,      1224.41,                   441231.59,361
,892NHPC33,N6,      1310.00,                   367000.00,280
,892PFCL33,N8,      1234.13,                  2423918.94,1967
,893NHB29,N6,      5825.00,                    11650.00,2
,895AEL27,N9,      1040.01,                   108048.96,104
,897MOFSL29,N4,      1020.00,                   147900.00,145
,898LTF29,N7,      1079.69,                    21671.00,20
,901HUDCO34,NE,      1334.70,                    86756.25,65
,901NHB34,N6,      6630.17,                  3692697.30,557
,902SCL28,N1,       919.00,                   183800.00,200
,905LTF27,NF,      1075.10,                    10751.00,10
,910TCAP28,NA,      1050.03,                   569110.60,540
,915AEL28,NC,      1048.00,                   262201.00,250
,915APSBC30,N0,    101166.31,                   505831.55,5
,915APSBC32,N0,    101520.21,                   203040.42,2
,915SCL26,NE,      1009.00,                    60520.00,60
,91D020126,TB,        99.78,                     9978.00,100
,91D060226,TB,        99.50,                   397910.00,4000
,91D120226,TB,        98.85,                     9885.00,100
,91D150126,TB,        99.30,                    29797.00,300
,91D230126,TB,        99.21,                     9921.00,100
,91D260226,TB,        98.97,                   187613.00,1900
,91D290126,TB,        99.10,                     9910.00,100
,91MOFSL27,N2,      1065.71,                     9591.39,9
,925SCL29A,ZM,       975.00,                    18525.00,19
,92GS2030,GS,       114.02,                   433437.05,3802
,930AEL30,NF,      1062.00,                    35097.70,33
,930APMD31,N0,    103644.66,                   829157.28,8
,930APMD32,N0,    104649.00,                 10861062.00,104
,930APMD33,N0,    104500.00,                   522503.00,5
,930APMD35,N0,    100404.00,                   725808.00,7
,935AKCF27,N0,    104535.62,                   418142.48,4
,935TSI29,N0,    101999.83,                   203799.83,2
,935TSI30,N0,    102097.90,                  1225174.80,12
,935TSI34,N0,    103509.80,                  3000756.60,29
,935TSIIC28,N0,    101182.00,                   303546.00,3
,93MOFSL34,N6,      1059.20,                    65052.00,60
,943ECL28,NJ,       995.90,                   149440.00,150
,948SCL26B,Y8,       980.00,                   292875.00,300
,948SCL27D,N1,       984.00,                    15744.00,16
,94SFL28,YL,      1072.09,                   262054.90,245
,956AEL29,N6,      1030.00,                   206000.00,200
,957ICCL25,YW,      1084.00,                    23848.00,22
,957NIDO26,N5,       976.03,                    98580.00,101
,965AEL27,N4,      1042.92,                   229424.00,220
,965SCL25F,NZ,       850.00,                   144500.00,170
,965SCL26,YO,      1062.92,                    15943.80,15
,965SCL26F,N1,      1001.19,                    24028.56,24
