SYMBOL,SYMBOL P/E,ADJUSTED P/E
JUSTDIAL,9.97,9.97
ATULAUTO,60.74,60.74
ORIENTCEM,12.75,12.75
ESSENTIA,81.15,81.16
PILITA,46.10,46.10
MITCON,21.93,21.93
ORBTEXP,12.03,12.03
JPOLYINVST,20.46,20.46
SREEL,24.07,24.07
NATHBIOGEN,6.86,7.27
CASTROLIND,18.91,18.91
SDBL,20.65,20.65
IREDA,23.64,23.64
BUTTERFLY,31.29,31.29
WONDERLA,33.87,33.87
AGARIND,11.63,11.63
HATSUN,77.47,77.47
CAPLIPOINT,25.45,25.45
GOCLCORP,8.79,9.31
GULFOILLUB,16.07,16.07
