MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        11.85,        11.79,        11.85,        11.76,        11.78,                  1580990.54,134015,421,        13.97,         9.00,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       126.13,       125.94,       126.42,       125.68,       126.08,                  1217993.96,9656,317,       133.81,       101.23,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        89.48,        88.51,        89.98,        88.51,        88.86,                 51355531.34,578048,8776,        96.16,        74.90,CPSE ETF
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        81.90,        80.90,        82.29,        80.90,        81.35,                  2201392.84,27029,727,        87.95,        68.30,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        59.80,        60.09,        60.09,        59.42,        59.46,                   125871.62,2112,36,        62.10,        47.00,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1558.58,      1554.81,      1562.59,      1554.80,      1562.11,                 28319677.29,18145,435,      1608.27,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1394.98,      1397.17,      1397.17,      1390.23,      1395.04,                  6912134.61,4954,83,      1410.12,      1280.51,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1270.14,      1271.49,      1273.16,      1266.81,      1268.14,                  2514543.39,1982,75,      1305.17,      1174.40,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        24.02,        24.41,        24.41,        23.83,        23.85,                  1052444.70,43968,339,        26.77,        17.13,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       133.80,       132.95,       132.95,       131.80,       132.45,                125355532.55,946575,369,       134.20,        76.00,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1010.32,      1010.46,      1010.46,      1010.45,      1010.46,                  2536254.50,2510,3,      1026.47,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.75,        16.76,        16.80,        16.50,        16.57,                   328557.58,19723,117,        19.20,        15.89,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        41.80,        41.59,        41.60,        41.31,        41.56,                  3674961.09,88449,212,        49.47,        34.71,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        35.07,        35.94,        35.94,        34.70,        34.82,                  1107801.88,31842,149,        40.00,        34.03,NIFTY ENERGY
N,EQ,ENIFTY,EDELAMC - ENIFTY,        26.52,        25.98,        26.11,        25.85,        25.91,                  1188312.95,45806,154,        27.22,        25.65,NIFTY 50 TRI
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.37,        13.43,        13.43,        13.27,        13.27,                  1673256.52,125679,91,        13.96,        11.03,BSE 200 EQUAL WEIGHT
N,EQ,EQUAL50,MIRAEAMC - EQUAL50,       332.28,       332.55,       332.55,       329.92,       329.92,                    83009.82,251,11,       336.25,       303.44,NIFTY50 EQUAL WEIGHT
N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       341.75,       343.45,       343.45,       339.84,       340.10,                  1561713.00,4584,112,       351.10,       280.01,NIFTY 50 EQUAL WEIGHT INDEX
N,EQ,ESENSEX,EDELAMC - ESENSEX,        85.55,        84.89,        85.02,        84.44,        84.89,                    76715.69,904,18,        88.05,        83.62,BSE SENSEX TRI
