INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,DELHIVERY ,27/01/2026,00000403.80,00000408.50,00000399.60,00000402.75,000000000964875,      173303377.50,           429525,              207,              180
FUTSTK    ,DELHIVERY ,24/02/2026,00000406.50,00000407.10,00000403.35,00000406.00,000000000099600,        5049305.00,            12450,              006,              006
FUTSTK    ,DIVISLAB  ,30/12/2025,00006312.50,00006383.50,00006290.00,00006299.50,000000002958900,      920251000.00,           145400,             1454,             1290
FUTSTK    ,DIVISLAB  ,27/01/2026,00006390.00,00006423.50,00006331.00,00006339.00,000000000095900,      166501600.00,            26200,              262,              238
FUTSTK    ,DIVISLAB  ,24/02/2026,00006440.00,00006440.00,00006361.00,00006377.00,000000000005500,        4470650.00,              700,              007,              007
FUTSTK    ,DIXON     ,30/12/2025,00013564.00,00013650.00,00013192.00,00013263.00,000000002013000,     7757197050.00,           580550,            11611,             9090
FUTSTK    ,DIXON     ,27/01/2026,00013657.00,00013736.00,00013272.00,00013342.00,000000000226900,     1369095900.00,           101800,             2036,             1748
FUTSTK    ,DIXON     ,24/02/2026,00013735.00,00013813.00,00013360.00,00013434.00,000000000046300,      212431300.00,            15700,              314,              296
FUTSTK    ,DLF       ,30/12/2025,00000688.00,00000693.80,00000680.70,00000683.80,000000048420075,     2699017530.00,          3936075,             4771,             3554
FUTSTK    ,DLF       ,27/01/2026,00000695.35,00000697.00,00000685.00,00000687.75,000000002543475,      517183383.75,           749100,              908,              593
FUTSTK    ,DLF       ,24/02/2026,00000700.05,00000700.45,00000688.90,00000691.85,000000000447150,       33785152.50,            48675,              059,              059
FUTSTK    ,DMART     ,30/12/2025,00003865.30,00003870.00,00003812.00,00003825.10,000000005440350,     1829672595.00,           477600,             3184,             2519
FUTSTK    ,DMART     ,27/01/2026,00003873.20,00003873.20,00003824.00,00003833.70,000000000401400,      630163830.00,           164100,             1094,              694
FUTSTK    ,DMART     ,24/02/2026,00003867.70,00003873.70,00003840.00,00003847.80,000000000041550,       38754990.00,            10050,              067,              066
FUTSTK    ,DRREDDY   ,30/12/2025,00001276.50,00001281.60,00001268.70,00001273.20,000000012611250,     1353917500.00,          1061875,             1699,             1426
FUTSTK    ,DRREDDY   ,27/01/2026,00001280.90,00001288.10,00001276.00,00001279.40,000000001066250,      312042750.00,           243750,              390,              242
FUTSTK    ,DRREDDY   ,24/02/2026,00001289.20,00001291.00,00001288.00,00001291.00,000000000041875,        3223625.00,             2500,              004,              004
FUTSTK    ,EICHERMOT ,30/12/2025,00007097.00,00007177.00,00007092.00,00007144.00,000000003165400,     5574075237.50,           779625,             4455,             3719
FUTSTK    ,EICHERMOT ,27/01/2026,00007172.50,00007224.00,00007170.00,00007192.00,000000000260200,      915965900.00,           127300,             1273,              507
FUTSTK    ,EICHERMOT ,24/02/2026,00007230.00,00007255.00,00007230.00,00007238.00,000000000018400,       26791050.00,             3700,              037,              037
FUTSTK    ,ETERNAL   ,30/12/2025,00000286.25,00000290.85,00000284.20,00000285.00,000000288589550,     6313469312.50,         22021425,             9081,             7485
FUTSTK    ,ETERNAL   ,27/01/2026,00000288.85,00000292.60,00000286.00,00000286.95,000000016858600,     1188028597.50,          4120075,             1699,             1450
FUTSTK    ,ETERNAL   ,24/02/2026,00000289.70,00000294.00,00000287.60,00000288.50,000000001731450,       69656912.50,           240075,              099,              093
FUTSTK    ,EXIDEIND  ,30/12/2025,00000365.95,00000366.10,00000362.15,00000364.10,000000029160000,      592756470.00,          1629000,              905,              803
FUTSTK    ,EXIDEIND  ,27/01/2026,00000367.65,00000368.10,00000364.50,00000366.25,000000001947600,      150245730.00,           410400,              228,              200
FUTSTK    ,EXIDEIND  ,24/02/2026,00000370.20,00000370.20,00000368.00,00000368.75,000000000244800,       11284110.00,            30600,              017,              016
FUTSTK    ,FEDERALBNK,30/12/2025,00000263.75,00000265.20,00000261.90,00000264.30,000000058725000,     2408152500.00,          9120000,             1824,             1655
